Version 4
SHEET 1 2888 2996
WIRE -1888 -512 -1984 -512
WIRE -1728 -512 -1792 -512
WIRE -1632 -512 -1728 -512
WIRE -1440 -512 -1632 -512
WIRE -1312 -512 -1440 -512
WIRE -1216 -512 -1312 -512
WIRE -1120 -512 -1120 -592
WIRE -1120 -512 -1216 -512
WIRE -1104 -512 -1120 -512
WIRE -1008 -512 -1008 -592
WIRE -1008 -512 -1024 -512
WIRE -960 -512 -1008 -512
WIRE -880 -512 -960 -512
WIRE -752 -512 -880 -512
WIRE -688 -512 -752 -512
WIRE -496 -512 -592 -512
WIRE -432 -512 -496 -512
WIRE -176 -512 -432 -512
WIRE -48 -512 -176 -512
WIRE -32 -512 -48 -512
WIRE 80 -512 48 -512
WIRE 96 -512 80 -512
WIRE 208 -512 176 -512
WIRE 432 -512 208 -512
WIRE 496 -512 432 -512
WIRE 592 -512 496 -512
WIRE 736 -512 688 -512
WIRE 800 -512 736 -512
WIRE 896 -512 800 -512
WIRE 992 -512 896 -512
WIRE 1072 -512 992 -512
WIRE 1152 -512 1072 -512
WIRE 1248 -512 1152 -512
WIRE 1472 -512 1248 -512
WIRE -1984 -496 -1984 -512
WIRE -1728 -480 -1728 -512
WIRE 800 -480 800 -512
WIRE 896 -480 896 -512
WIRE 992 -480 992 -512
WIRE 1152 -480 1152 -512
WIRE 1248 -480 1248 -512
WIRE -1984 -464 -1984 -496
WIRE -1312 -464 -1312 -512
WIRE -1216 -464 -1216 -512
WIRE -960 -464 -960 -512
WIRE -176 -464 -176 -512
WIRE -48 -464 -48 -512
WIRE 80 -464 80 -512
WIRE 208 -464 208 -512
WIRE 1472 -464 1472 -512
WIRE -1808 -400 -1808 -464
WIRE -1728 -400 -1728 -416
WIRE -1728 -400 -1808 -400
WIRE -432 -384 -432 -512
WIRE -368 -384 -432 -384
WIRE -288 -384 -304 -384
WIRE 336 -384 320 -384
WIRE 432 -384 432 -512
WIRE 432 -384 400 -384
WIRE 800 -384 800 -416
WIRE 896 -384 896 -416
WIRE 992 -384 992 -416
WIRE 1152 -384 1152 -416
WIRE 1248 -384 1248 -416
WIRE -1808 -368 -1808 -400
WIRE -1632 -368 -1632 -512
WIRE -1312 -368 -1312 -400
WIRE -1216 -368 -1216 -400
WIRE -960 -368 -960 -400
WIRE -496 -368 -496 -512
WIRE 496 -368 496 -512
WIRE -1984 -352 -1984 -384
WIRE 1472 -320 1472 -384
